,label
label,1.0
feature_39,0.626746429111868
feature_18,0.6103550617522925
feature_37,0.6012427489268627
feature_41,0.5858615095102138
feature_43,0.5840608100863041
feature_62,0.5746961527859149
feature_13,0.5629948655144097
feature_42,0.5555085153248822
feature_48,0.5537861212380282
feature_44,0.548577687458554
feature_38,0.5483544197472395
feature_50,0.5435610070304544
feature_46,0.5424104280367504
feature_17,0.5389299795605428
feature_11,0.5164767108784594
feature_61,0.5129206636629889
feature_40,0.5086522647874415
feature_7,0.50593403325519
feature_52,0.5043641996714328
feature_31,0.5029691919972424
feature_16,0.49553639174715036
feature_33,0.4952114191216934
feature_9,0.48785601898441516
feature_6,0.48677422942712817
feature_35,0.48609674169822203
feature_14,0.48074477500933044
feature_10,0.47350563626446346
feature_47,0.46839240834999407
feature_8,0.46480340175666596
feature_70,0.45629676717746376
feature_19,0.45048417082367836
feature_12,0.45007108722449346
feature_75,0.4449837634055475
feature_60,0.43773616193011344
feature_74,0.4366668652273941
feature_89,0.43474344151756517
feature_110,0.43380206841717206
feature_24,0.4322919363038161
feature_109,0.4321127207404815
feature_5,0.4304785560618541
feature_81,0.4293770699037784
feature_69,0.4292286702764268
feature_76,0.41839745428033726
feature_117,0.41811799006817546
feature_26,0.4155842547554921
feature_77,0.4152616630842958
feature_108,0.41367974384815887
feature_118,0.4129928206751008
feature_73,0.4123510888937527
feature_84,0.4089766617078214
feature_99,0.408005038833554
feature_98,0.40419634400267895
feature_25,0.40000590701615185
feature_78,0.399387430740428
feature_23,0.3983832144487877
feature_21,0.39367704733208214
feature_116,0.3933323977542393
feature_100,0.39168104830566575
feature_101,0.39072729896700525
feature_68,0.39006311815001526
feature_22,0.3890518733204955
feature_67,0.3887017994498473
feature_92,0.38861369743250573
feature_51,0.3857412964073041
feature_107,0.38313899619935726
feature_102,0.37923465910568577
feature_97,0.3711273824722677
feature_85,0.3663946566547731
feature_66,0.35640517432313656
feature_115,0.3555463886216914
feature_93,0.35480488381883785
feature_106,0.34976847315117493
feature_65,0.34731180275247603
feature_88,0.34330822712383313
feature_53,0.34324176618202884
feature_30,0.3388052237970402
feature_105,0.33642809683024016
feature_59,0.3326308371187608
feature_15,0.33063110421841596
feature_20,0.3269208044125922
feature_114,0.3189193630823461
feature_113,0.31075317113267065
feature_72,0.30832351882649056
feature_86,0.30305918163012735
feature_82,0.3009166765326954
feature_94,0.2984259129566576
feature_80,0.2891939772436841
feature_83,0.28656065566349903
feature_112,0.27888513570410434
feature_63,0.278031400766657
feature_96,0.2715929069152256
feature_64,0.27071249910803047
feature_104,0.2696008756914361
feature_90,0.26716413543463424
feature_49,0.2659010493925692
feature_58,0.25890141583760123
feature_91,0.25729775788898385
feature_87,0.22898691909332164
feature_57,0.2173043700736315
feature_111,0.2069569058611997
feature_71,0.18921182063722097
feature_103,0.18783311593005364
feature_95,0.17338770474078513
feature_79,0.1616756138141729
feature_34,0.15345449651178625
feature_56,0.14720243864321259
feature_45,0.13163310375344378
feature_54,0.12983319689609668
feature_55,0.12570621531722243
feature_32,0.1124523832445313
feature_29,0.10368890678195865
feature_36,0.07356510203366437
feature_27,0.0731498817800036
feature_4,-0.02013181692363066
feature_28,-0.04475904018157366
feature_3,-0.05917317454258438
feature_1,-0.1495397032151593
feature_2,-0.18845685233884452
