,weights,RMSE
0,-0.08251774524228303,3.7286370566293905
1,0.07235753732777273,
2,-0.7515214926686505,
3,-0.09799086691584558,
4,0.04971709488753574,
5,0.232110548509588,
6,0.6075693672496723,
7,1.8279537219747635,
8,0.6025638483158839,
9,0.7391888567331175,
10,-3.9724967973267393,
11,2.6481272200912236,
12,1.881219101157288,
13,2.0293620632099225,
14,2.8357719830474,
15,2.074838371546412,
16,2.3781399647552117,
17,-10.082408922876033,
18,0.6658266773954784,
19,-0.5002241485552614,
20,0.21583782108610627,
21,-0.07265227220693632,
22,-1.41922489995399,
23,-0.18685980695203025,
24,-0.004304669437926845,
25,0.38375442228961104,
26,1.1755473176718616,
27,0.2815228940110649,
28,0.4500156283216617,
29,-0.669275218748886,
30,1.4388571231378102,
31,0.19950380213861446,
32,0.022705236259543952,
33,-0.41645796221435377,
34,-0.2721881992185856,
35,0.7235880073228076,
36,-0.03495471726592825,
37,-0.3044981281982089,
38,1.1171149358748456,
39,0.2837934105328645,
40,0.4564747257550808,
41,0.8146091632926139,
42,0.028445373937934212,
43,1.4074250242065696,
44,0.21385956553214786,
45,0.6715775313026994,
46,-0.4160564549999055,
47,0.6452026416892258,
48,-0.18692978858418918,
49,1.015348286806944,
50,-1.8552353433130508,
51,0.19721672949970384,
52,-0.575566843560712,
53,-1.2840494673256857,
54,-0.6894024998888945,
55,0.9794702374168027,
56,-1.8272572836327388,
57,0.8428909212161797,
58,-0.264427585406218,
59,-0.31019221422455856,
60,0.6454777364431556,
61,2.033658321947942,
62,1.3660740140072054,
63,-0.8882767959523927,
64,1.014904758286125,
65,-2.3015431720526047,
66,1.0855765523818075,
67,-0.8138859480438391,
68,1.2103594016327863,
69,-0.08443872314792406,
70,-0.18892094564807996,
71,-0.8074269561653877,
72,3.523616142409676,
73,-1.9205579456005042,
74,0.307514985288568,
75,-1.019308502264753,
76,0.6558722460162292,
77,-1.1785014612529077,
78,-0.6639275777664586,
79,0.4838811708233267,
80,-1.6084238290700337,
81,-0.25761288231042695,
82,-0.4798000891671771,
83,2.586412030757475,
84,-1.166082603686719,
85,0.9141026801640078,
86,-0.557062524514549,
87,0.4884321871400828,
88,2.16242503255108,
89,-1.5804253840367286,
90,1.1453836036678147,
91,-0.6672196786703591,
92,0.6149467559404926,
93,-0.1710491923917657,
94,-0.3770066573586263,
95,-0.06176977069647377,
96,-0.7053715231983732,
97,-1.0931018455949322,
98,0.8698520331699919,
99,1.1545876952339522,
100,-1.8742295408249368,
101,-0.34245385893652563,
102,-0.2737263391042964,
103,-0.09799055867755602,
104,-0.40944757263608056,
105,-0.29536719361488883,
106,0.1527511943857613,
107,2.4648214403592865,
108,-0.858623503950253,
109,0.9108368192355877,
110,-0.5232471163635773,
111,0.5024056167780758,
112,-0.29868175631487554,
113,1.6343657209096336,
114,-2.5950765612013407,
115,-0.1325243519806517,
116,0.47330382421562023,
117,-0.21549232984189712,
